id,tech_stack,category,level,skills,description
1,Python Developer,Backend,Beginner,"python flask django api backend sql","Build backend applications and APIs using Python frameworks."
2,Data Scientist,AI/Data,Intermediate,"python pandas numpy statistics visualization data analysis","Analyze data and extract insights using statistical methods."
3,Machine Learning Engineer,AI/Data,Advanced,"python machine learning deep learning tensorflow pytorch scikit-learn","Develop machine learning and AI systems."
4,Frontend Developer,Web,Beginner,"html css javascript react responsive ui ux","Create user interfaces and web applications."
5,Backend Developer,Web,Intermediate,"nodejs express mongodb sql api authentication","Build server-side applications and APIs."
6,Full Stack Developer,Web,Intermediate,"html css javascript react nodejs express mongodb sql","Develop complete web applications from frontend to backend."
7,Mobile App Developer,Mobile,Intermediate,"flutter dart android ios firebase mobile development","Create cross-platform mobile applications."
8,Cybersecurity Analyst,Security,Intermediate,"networking security ethical hacking penetration testing wireshark","Protect systems and identify security vulnerabilities."
9,Cloud Engineer,Cloud,Advanced,"aws azure cloud infrastructure linux networking docker","Design and manage cloud infrastructure."
10,DevOps Engineer,Cloud,Advanced,"docker kubernetes ci cd linux aws automation","Automate deployment and infrastructure management."
11,AI Engineer,AI/Data,Advanced,"python machine learning deep learning llm langchain rag openai","Build AI-powered applications and intelligent systems."
12,Data Engineer,AI/Data,Advanced,"python spark hadoop etl data warehouse sql airflow","Design and manage large-scale data pipelines."
13,MERN Stack Developer,Web,Intermediate,"mongodb express react nodejs javascript api full stack","Build full-stack applications using MERN technologies."
14,Java Developer,Backend,Intermediate,"java spring boot microservices sql backend api","Develop enterprise backend systems using Java."
15,.NET Developer,Backend,Intermediate,"csharp dotnet asp.net sql api backend","Build enterprise applications with Microsoft technologies."
16,Blockchain Developer,Emerging Tech,Advanced,"solidity ethereum smart contracts web3 blockchain","Develop decentralized applications and smart contracts."
17,Game Developer,Gaming,Intermediate,"unity csharp unreal engine game design physics","Create video games and interactive experiences."
18,UI UX Designer,Design,Beginner,"figma adobe xd wireframe prototyping user research","Design user-friendly digital products and interfaces."
19,QA Engineer,Testing,Beginner,"manual testing automation selenium test cases bug tracking","Ensure software quality through testing."
20,Site Reliability Engineer,Cloud,Advanced,"linux monitoring kubernetes aws automation reliability","Maintain scalable and reliable production systems."
21,Prompt Engineer,AI/Data,Intermediate,"prompt engineering llm chatgpt openai ai automation","Design prompts for AI applications and workflows."
22,NLP Engineer,AI/Data,Advanced,"nlp transformers bert llm python huggingface","Build natural language processing applications."
23,Computer Vision Engineer,AI/Data,Advanced,"opencv image processing deep learning yolov8 computer vision","Develop image and video understanding systems."
24,Embedded Systems Engineer,Hardware,Advanced,"c c++ microcontrollers arduino raspberry pi iot","Develop software for hardware devices and IoT."
25,Network Engineer,Networking,Intermediate,"networking cisco routing switching tcp ip security","Design and maintain network infrastructure."
